Mount Kinabalu gazetteer arranged alphabetically by place name Ð based on features shown on the Kinabalu location map,,,,,
Draft: 29 August 2005,,,,,
,,,,,
,,,,,
,Feature,,,,
Golf Course,poi,"6¡2'0.27""N","116¡35'43.25""E",6.03341,116.59535
Golopot R.,river,"6¡8'53.38""N","116¡38'12.09""E",6.14816,116.63669
Gontikes R.,river,"6¡7'36.26""N","116¡42'5.86""E",6.12674,116.70163
Gumarau. R.,river,"6¡17'56.98""N","116¡34'52.31""E",6.29916,116.5812
Gurulau Spur,poi,"6¡2'41.50""N","116¡31'43.78""E",6.04486,116.52883
Hatob Ridge,ridge,"6¡6'51.12""N","116¡30'43.19""E",6.1142,116.512
Haya-haya R.,river,"6¡3'14.38""N","116¡30'49.02""E",6.05399,116.51362
Hempuen Hill,peak,"6¡0'15.04""N","116¡39'38.83""E",6.00418,116.66079
Heur R.,river,"6¡3'38.73""N","116¡29'23.43""E",6.06076,116.48984
Kg. Himbaan,pp,"5¡57'44.31""N","116¡32'38.61""E",5.96231,116.54406
Janet's Halt,poi,"6¡3'16.58""N","116¡36'2.67""E",6.05461,116.60074
Kabu R.,river,"5¡57'59.70""N","116¡32'12.27""E",5.96658,116.53674
Kadamaian Falls,poi,"6¡2'21.39""N","116¡32'28.04""E",6.03928,116.54112
Kadamaian R.,river,"6¡2'35.17""N","116¡32'43.26""E",6.0431,116.54535
Kadamaian R.,river,"6¡2'5.94""N","116¡29'49.94""E",6.03498,116.49721
Kadamaian R.,river,"6¡12'20.16""N","116¡27'1.60""E",6.2056,116.45045
Kaihangan R.,river,"6¡15'33.41""N","116¡31'32.12""E",6.25928,116.52559
Kaingaran R.,river,"5¡54'53.23""N","116¡40'43.19""E",5.91478,116.67866
Kalambaan R.,river,"6¡0'59.13""N","116¡37'4.80""E",6.01642,116.618
Kalanggaan R.,river,"6¡0'20.39""N","116¡33'19.29""E",6.00566,116.55536
Kapadas R.,river,"6¡7'55.76""N","116¡29'32.91""E",6.13216,116.49248
Kapadsaan R.,river,"6¡7'58.06""N","116¡29'24.64""E",6.13279,116.49018
Kapaladan Besar R.,river,"6¡7'58.53""N","116¡30'10.75""E",6.13293,116.50299
Kapaladan Kecil R.,river,"6¡7'53.48""N","116¡29'42.46""E",6.13152,116.49513
Kapaladan R.,river,"6¡6'16.44""N","116¡26'48.76""E",6.10457,116.44688
Kapur R.,river,"6¡4'8.94""N","116¡26'58.39""E",6.06915,116.44955
Katagatan R.,river,"6¡5'10.49""N","116¡26'57.21""E",6.08625,116.44923
Kg. Kauluan,pp,"5¡59'15.93""N","116¡35'36.93""E",5.98776,116.59359
Kg. Kaung,pp,"6¡4'31.28""N","116¡27'18.33""E",6.07536,116.45509
Kg. Kebayau,pp,"6¡9'10.18""N","116¡26'29.77""E",6.15283,116.4416
Kebayau Lama,poi,"6¡9'58.70""N","116¡26'46.95""E",6.16631,116.44637
Kebayau R.,river,"6¡9'25.81""N","116¡27'1.50""E",6.15717,116.45042
Kebibi R.,river,"5¡58'51.24""N","116¡37'23.18""E",5.9809,116.62311
Kebu R.,river,"6¡3'14.35""N","116¡30'31.08""E",6.05399,116.50863
Kegepen R.,river,"5¡58'19.31""N","116¡32'19.58""E",5.97203,116.53877
Kegiitan Agaye R.,river,"6¡2'3.04""N","116¡31'8.08""E",6.03418,116.51891
Kegiitan Agaye R.,river,"6¡2'6.91""N","116¡31'8.51""E",6.03525,116.51903
Kg. Kekob,pp,"5¡58'27.88""N","116¡41'46.63""E",5.97441,116.69629
Kelemuhan R.,river,"6¡16'46.98""N","116¡33'29.59""E",6.27972,116.55822
Kelumpisau Hill,peak,"6¡8'41.28""N","116¡42'40.08""E",6.1448,116.71113
Kemantis R.,river,"6¡9'32.46""N","116¡33'35.16""E",6.15902,116.55977
Kemburongoh,poi,"6¡2'28.81""N","116¡32'48.22""E",6.04134,116.54673
Keminakor R.,river,"6¡9'10.23""N","116¡29'35.88""E",6.15284,116.4933
Kengkerung Ridge,ridge,"6¡9'26.68""N","116¡33'42.31""E",6.15741,116.56175
Kenipir R.,river,"5¡55'46.93""N","116¡32'28.60""E",5.9297,116.54128
Kepengian R.,river,"6¡13'19.33""N","116¡29'12.02""E",6.22204,116.48667
Kepuakan R.,river,"6¡13'30.51""N","116¡43'18.46""E",6.22514,116.72179
Kepuakan R.,river,"6¡11'20.72""N","116¡46'22.99""E",6.18909,116.77305
Kepungitan R.,river,"6¡14'4.03""N","116¡33'54.17""E",6.23445,116.56505
Ketugungan R.,river,"6¡11'1.78""N","116¡34'32.12""E",6.18383,116.57559
Ketumbalang R.,river,"6¡12'15.35""N","116¡36'34.65""E",6.20426,116.60963
Ketumbalang R.,river,"6¡12'24.82""N","116¡33'55.65""E",6.20689,116.56546
Kiaham R.,river,"6¡6'53.43""N","116¡42'48.85""E",6.11484,116.71357
Kiangian R.,river,"5¡58'8.76""N","116¡31'31.62""E",5.9691,116.52545
Kg. Kias,pp,"6¡17'46.68""N","116¡41'16.54""E",6.2963,116.68793
Kiasu R.,river,"5¡59'37.08""N","116¡26'38.22""E",5.99363,116.44395
Kg. Kiau Bersatu,pp,"6¡2'58.26""N","116¡28'12.85""E",6.04952,116.47024
Kg. Kiau Nuluh,pp,"6¡2'50.20""N","116¡29'32.91""E",6.04728,116.49247
Kg. Kiau Teburi,pp,"6¡1'57.19""N","116¡29'2.09""E",6.03255,116.48392
Kibambangan R.,river,"6¡5'42.27""N","116¡31'35.24""E",6.09507,116.52646
Kg. Kibbas,pp,"5¡56'47.25""N","116¡37'46.97""E",5.94646,116.62971
Kibundu R.,river,"5¡56'45.84""N","116¡41'29.67""E",5.94607,116.69157
Kieburi R.,river,"5¡56'47.61""N","116¡39'41.19""E",5.94656,116.66144
Kigeutten R.,river,"6¡4'17.77""N","116¡27'49.73""E",6.0716,116.46381
Kihang R.,river,"6¡4'32.59""N","116¡27'34.17""E",6.07572,116.45949
Kihuan R.,river,"6¡8'25.02""N","116¡31'20.85""E",6.14028,116.52246
Kihunut R.,river,"5¡55'40.60""N","116¡37'58.92""E",5.92795,116.63303
Kikulat R.,river,"6¡12'1.97""N","116¡44'39.67""E",6.20055,116.74435
Kilembun Falls,poi,"6¡5'14.36""N","116¡32'4.79""E",6.08732,116.53466
Kilembun R.,river,"6¡7'41.63""N","116¡27'58.35""E",6.12823,116.46621
Kilembun R.,river,"6¡6'14.76""N","116¡29'36.10""E",6.1041,116.49336
Kileu R.,river,"6¡17'59.56""N","116¡41'39.71""E",6.29988,116.69436
Kg. Kilimu,pp,"5¡58'50.13""N","116¡40'46.04""E",5.98059,116.67945
Kimangawang R.,river,"6¡4'2.40""N","116¡41'48.97""E",6.06733,116.69694
Kimarugi R.,river,"6¡3'57.72""N","116¡28'47.28""E",6.06603,116.4798
Kina'atongan R.,river,"5¡57'29.03""N","116¡33'39.75""E",5.95806,116.56104
Kinagaban R.,river,"6¡5'43.03""N","116¡44'37.53""E",6.09529,116.74376
Kinagas R.,river,"6¡7'59.37""N","116¡37'39.01""E",6.13316,116.6275
Kinangoh Tarasak R.,river,"6¡6'53.68""N","116¡44'30.32""E",6.11491,116.74176
Kinapasaan R.,river,"6¡3'9.91""N","116¡30'22.58""E",6.05275,116.50627
Kinapasaan R.,river,"6¡5'51.24""N","116¡45'28.33""E",6.09757,116.75787
Kg. Kinapulidan,pp,"5¡55'2.78""N","116¡40'40.24""E",5.91744,116.67784
Kinarom R.,river,"6¡17'32.91""N","116¡40'59.85""E",6.29247,116.68329
Kinarom R.,river,"6¡15'51.83""N","116¡39'0.35""E",6.2644,116.6501
Kinarom R.,river,"6¡17'51.61""N","116¡43'0.29""E",6.29767,116.71675
Kinasapian R.,river,"6¡0'27.41""N","116¡34'6.90""E",6.00761,116.56858
Kinasapian R.,river,"6¡0'57.69""N","116¡30'46.57""E",6.01603,116.51294
Kg. Kinasaraban,pp,"5¡59'11.94""N","116¡33'15.87""E",5.98665,116.55441
Kinasaraban Hill,peak,"5¡59'27.96""N","116¡33'26.82""E",5.9911,116.55745
Kinateki R.,river,"6¡4'26.74""N","116¡29'17.90""E",6.07409,116.48831
Kinateki R.,river,"6¡2'3.42""N","116¡31'22.72""E",6.03428,116.52298
King Edward Peak,peak,"6¡4'18.95""N","116¡34'18.54""E",6.07193,116.57182
King George Peak,peak,"6¡4'28.93""N","116¡34'33.81""E",6.0747,116.57606
Kinogitom R.,river,"6¡8'31.56""N","116¡26'38.10""E",6.1421,116.44392
Kiogiong R.,river,"5¡58'23.01""N","116¡33'47.51""E",5.97306,116.5632
Kipalu R.,river,"6¡9'2.86""N","116¡39'17.02""E",6.15079,116.65473
Kipelupu R.,river,"5¡56'2.92""N","116¡41'23.47""E",5.93415,116.68985
Kipuka R.,river,"6¡0'8.81""N","116¡37'4.84""E",6.00245,116.61801
Kipungit Falls,poi,"6¡3'4.68""N","116¡41'56.92""E",6.0513,116.69914
Kipungit Hill,peak,"6¡3'4.41""N","116¡41'41.26""E",6.05122,116.69479
Kipungit R.,river,"5¡59'41.39""N","116¡32'10.09""E",5.99483,116.53614
Kipungit R.,river,"6¡9'32.44""N","116¡37'22.93""E",6.15901,116.62304
Kipungit R. 1,river,"6¡3'7.50""N","116¡41'48.95""E",6.05208,116.69693
Kipungit R. 2,river,"6¡3'19.58""N","116¡41'49.49""E",6.05544,116.69708
Kirangen R.,river,"6¡16'50.33""N","116¡41'56.93""E",6.28065,116.69915
Kirongilut Ridge,ridge,"6¡9'9.74""N","116¡40'15.15""E",6.15271,116.67087
Kiruyeu R.,river,"6¡0'50.25""N","116¡35'0.99""E",6.01396,116.58361
Kitongil R.,river,"6¡9'55.03""N","116¡27'53.74""E",6.16529,116.46493
Kg. Kituntul,pp,"5¡55'55.73""N","116¡41'0.70""E",5.93215,116.68353
Kituntul R.,river,"5¡56'34.69""N","116¡39'39.30""E",5.94297,116.66092
Kituntul R.,river,"5¡55'58.76""N","116¡40'38.75""E",5.93299,116.67743
Kiulan R.,river,"6¡3'47.15""N","116¡28'12.33""E",6.0631,116.47009
Kiululu R.,river,"6¡9'7.60""N","116¡31'25.80""E",6.15211,116.52383
Kiulu-Ulu R.,river,"6¡0'23.41""N","116¡38'13.49""E",6.0065,116.63708
Kiutun R.,river,"6¡6'48.24""N","116¡42'17.41""E",6.1134,116.70484
Kogumpayan R.,river,"6¡5'50.59""N","116¡27'6.33""E",6.09739,116.45176
Kohobon R.,river,"6¡4'25.57""N","116¡26'38.80""E",6.07377,116.44411
Kokohitan Hill,peak,"6¡5'16.66""N","116¡25'45.38""E",6.08796,116.42927
Kolompung R.,river,"6¡2'13.66""N","116¡26'29.12""E",6.03713,116.44142
Kolopis R.,river,"6¡1'19.39""N","116¡31'6.34""E",6.02205,116.51843
Kolopis Ridge,ridge,"6¡5'53.60""N","116¡39'23.06""E",6.09822,116.6564
Kopongian R.,river,"6¡6'6.87""N","116¡43'49.70""E",6.10191,116.73047
Kopongian R.,river,"6¡7'17.91""N","116¡27'3.39""E",6.12164,116.45094
Koriau R.,river,"6¡0'3.79""N","116¡28'46.97""E",6.00105,116.47971
Korilitan R.,river,"6¡6'7.70""N","116¡43'8.17""E",6.10214,116.71894
Korojoh R.,river,"6¡14'3.62""N","116¡29'39.39""E",6.23434,116.49428
Kulung Hill,peak,"5¡59'34.47""N","116¡41'0.29""E",5.99291,116.68341
Kumawanan R.,river,"5¡59'40.46""N","116¡34'48.40""E",5.99457,116.58011
Kumawanan R.,river,"6¡1'10.53""N","116¡34'43.30""E",6.01959,116.5787
Kuraput R.,river,"6¡5'25.95""N","116¡27'46.27""E",6.09054,116.46285
Labi R.,river,"6¡7'50.29""N","116¡27'57.23""E",6.13064,116.4659
Lahanas R.,river,"5¡59'46.22""N","116¡35'4.98""E",5.99617,116.58472
Kg. Lahanas Siba,pp,"6¡17'11.81""N","116¡34'47.39""E",6.28661,116.57983
Kg. Lahanas Sokid,pp,"6¡16'59.25""N","116¡34'53.38""E",6.28313,116.58149
Kg. Lakang,pp,"6¡5'38.50""N","116¡43'21.64""E",6.09403,116.72268
Lamba R.,river,"6¡18'0.84""N","116¡42'33.00""E",6.30023,116.70917
Langanan Falls,poi,"6¡3'54.80""N","116¡40'58.13""E",6.06522,116.68281
Langanan R.,river,"6¡2'56.38""N","116¡43'26.49""E",6.04899,116.72403
Langga-langga R.,river,"6¡0'47.09""N","116¡32'48.30""E",6.01308,116.54675
Langkuag R.,river,"5¡55'51.54""N","116¡41'8.76""E",5.93098,116.68577
Lawaki R.,river,"6¡12'38.33""N","116¡45'24.64""E",6.21065,116.75684
Layang-layang,poi,"6¡2'48.88""N","116¡33'27.12""E",6.04691,116.55753
Lengegen R.,river,"5¡55'21.52""N","116¡39'50.80""E",5.92264,116.66411
Kg. Libang,pp,"5¡57'21.19""N","116¡41'21.90""E",5.95589,116.68942
Libang R.,river,"6¡8'58.52""N","116¡29'37.30""E",6.14959,116.49369
Libang R.,river,"5¡57'59.39""N","116¡40'44.73""E",5.9665,116.67909
Li'idan R.,river,"5¡58'48.35""N","116¡31'17.73""E",5.9801,116.52159
Limbata R.,river,"6¡5'31.19""N","116¡30'35.83""E",6.092,116.50995
Linasayan R.,river,"6¡8'9.63""N","116¡26'18.50""E",6.13601,116.43847
Kg. Linkubang,pp,"6¡8'49.87""N","116¡26'41.29""E",6.14719,116.4448
Lintagu R.,river,"6¡16'21.29""N","116¡36'2.75""E",6.27258,116.60076
Kg. Lipasu,pp,"5¡58'43.35""N","116¡37'23.94""E",5.97871,116.62332
Kg. Lipasu,pp,"5¡58'41.36""N","116¡37'50.62""E",5.97816,116.63073
Little Mamut R.,river,"6¡2'9.80""N","116¡39'4.26""E",6.03606,116.65118
Liwagu R.,river,"5¡57'10.53""N","116¡40'27.18""E",5.95292,116.67422
Liwagu R.,river,"5¡59'45.15""N","116¡34'40.16""E",5.99588,116.57782
Loag R.,river,"6¡5'29.81""N","116¡29'48.44""E",6.09161,116.49679
Lobang,poi,"6¡2'7.32""N","116¡32'17.00""E",6.03537,116.53806
Kg. Lobang-lobang,pp,"6¡4'7.43""N","116¡27'34.79""E",6.06873,116.45966
Locit-lout R.,river,"6¡3'25.03""N","116¡26'7.51""E",6.05695,116.43542
Lodang R.,river,"6¡6'40.22""N","116¡43'28.97""E",6.11117,116.72471
Kg. Lohan,pp,"6¡0'9.23""N","116¡43'24.89""E",6.00256,116.72358
Lohan R.,river,"5¡59'53.61""N","116¡41'11.73""E",5.99823,116.68659
Lohan R.,river,"6¡0'19.66""N","116¡46'12.03""E",6.00546,116.77001
Lolomohoon Ridge,ridge,"6¡5'55.64""N","116¡40'40.43""E",6.09879,116.6779
Lolotingan R.,river,"6¡6'42.50""N","116¡38'53.02""E",6.1118,116.64806
Lompuka R.,river,"6¡9'33.41""N","116¡26'23.05""E",6.15928,116.43974
Low's Gully,poi,"6¡5'1.53""N","116¡33'53.51""E",6.08376,116.56486
Low's Peak,peak,"6¡4'43.93""N","116¡33'23.00""E",6.07887,116.55639
Luang Mendeu  R.,river,"6¡5'25.94""N","116¡45'55.85""E",6.09054,116.76551
Lugas Hill,peak,"5¡56'21.52""N","116¡33'56.57""E",5.93931,116.56571
Lugas Ridge,ridge,"5¡59'23.22""N","116¡35'47.09""E",5.98978,116.59641
Lumaang R.,river,"6¡8'20.51""N","116¡25'12.51""E",6.13903,116.42014
Lumelaput R.,river,"6¡14'14.87""N","116¡32'7.14""E",6.23746,116.53532
Lumetek Besar R.,river,"6¡9'31.23""N","116¡33'53.06""E",6.15868,116.56474
Luminadut R.,river,"6¡0'22.87""N","116¡27'25.93""E",6.00635,116.4572
Lumu-lumu,poi,"6¡1'27.89""N","116¡32'23.89""E",6.02441,116.53997
Mahandoi Kecil R.,river,"6¡3'43.76""N","116¡30'16.18""E",6.06216,116.50449
Mahandoi R.,river,"6¡3'44.26""N","116¡30'22.64""E",6.0623,116.50629
Malawan R.,river,"6¡12'20.49""N","116¡27'36.79""E",6.20569,116.46022
Maliupaliu R.,river,"6¡3'9.67""N","116¡27'55.79""E",6.05268,116.4655
Mamut Copper Mine,poi,"6¡1'31.96""N","116¡39'12.50""E",6.02554,116.65347
Mamut Copper Mine Tailings,poi,"6¡0'54.74""N","116¡44'22.97""E",6.01521,116.73971
Mamut Hill,peak,"6¡1'14.60""N","116¡39'7.93""E",6.02072,116.6522
Mamut R.,river,"6¡2'49.38""N","116¡41'47.86""E",6.04705,116.69663
Mamut R.,river,"6¡3'2.57""N","116¡38'47.12""E",6.05071,116.64642
Mantaranau R.,river,"6¡4'8.12""N","116¡25'13.35""E",6.06892,116.42037
Marai Parai,poi,"6¡4'54.91""N","116¡31'4.75""E",6.08192,116.51799
Kg. Marakau,pp,"5¡57'4.41""N","116¡41'5.06""E",5.95123,116.68474
Marakau R.,river,"5¡56'57.69""N","116¡41'22.61""E",5.94936,116.68961
Kg. Matan,pp,"5¡56'12.46""N","116¡39'57.93""E",5.93679,116.66609
Mayampak R.,river,"5¡58'41.00""N","116¡31'32.71""E",5.97806,116.52575
Mayamut R.,river,"6¡2'6.76""N","116¡28'20.26""E",6.03521,116.47229
Mebeulebeu R.,river,"6¡2'18.60""N","116¡31'53.64""E",6.0385,116.53157
Mebeulebeu R.,river,"6¡1'6.70""N","116¡31'23.41""E",6.01853,116.52317
Mekedeu R.,river,"6¡7'51.70""N","116¡39'57.06""E",6.13103,116.66585
Mekedeu R.,river,"6¡6'32.90""N","116¡43'6.66""E",6.10914,116.71852
Kg. Melangkap Baru,pp,"6¡9'59.86""N","116¡28'36.45""E",6.16663,116.47679
Kg. Melangkap Kappa,pp,"6¡9'10.98""N","116¡30'33.31""E",6.15305,116.50925
Kg. Melangkap Noruyou,pp,"6¡10'49.00""N","116¡28'56.58""E",6.18028,116.48238
Kg. Melangkap Tomis,pp,"6¡9'0.90""N","116¡28'56.10""E",6.15025,116.48225
Kg. Menggis,pp,"6¡12'8.59""N","116¡45'46.91""E",6.20239,116.76303
Mensahaban R.,river,"5¡56'35.35""N","116¡41'8.58""E",5.94315,116.68572
Mensahaban R.,river,"5¡59'8.36""N","116¡39'52.61""E",5.98566,116.66461
Menteki R.,river,"5¡59'49.92""N","116¡37'38.28""E",5.9972,116.6273
Mentekungen R.,river,"6¡2'6.96""N","116¡42'33.64""E",6.03527,116.70934
Mesilau Camp,poi,"6¡0'44.71""N","116¡35'46.00""E",6.01242,116.59611
Mesilau Cave,poi,"6¡2'39.93""N","116¡35'38.88""E",6.04443,116.59413
Mesilau Nature Centre,poi,"6¡2'34.61""N","116¡35'33.77""E",6.04295,116.59271
Mesilau Peak,peak,"6¡3'31.25""N","116¡35'6.67""E",6.05868,116.58519
Mesilau R.,river,"5¡59'15.52""N","116¡36'12.75""E",5.98765,116.60354
Mesilau R.,river,"6¡9'8.71""N","116¡37'44.97""E",6.15242,116.62916
Miat-Kiat Ridge,ridge,"6¡9'47.62""N","116¡38'34.81""E",6.16323,116.643
Mibang R.,river,"6¡1'28.11""N","116¡43'42.40""E",6.02448,116.72844
Minadsur R.,river,"6¡3'45.70""N","116¡28'59.19""E",6.06269,116.48311
Minalon R.,river,"5¡58'23.26""N","116¡33'12.06""E",5.97313,116.55335
Minasul R.,river,"6¡0'54.62""N","116¡37'41.43""E",6.01517,116.62818
Minduk Sirung Ridge,ridge,"5¡58'31.60""N","116¡36'15.89""E",5.97544,116.60441
Minenal R.,river,"6¡8'24.12""N","116¡41'13.78""E",6.14003,116.68716
Miniirad R.,river,"5¡59'19.28""N","116¡30'36.03""E",5.98869,116.51001
Mininenduk R.,river,"6¡5'52.51""N","116¡43'4.18""E",6.09792,116.71783
Mininteiku R.,river,"6¡4'32.81""N","116¡42'20.67""E",6.07578,116.70574
Minirad R.,river,"6¡7'56.04""N","116¡31'21.85""E",6.13223,116.52274
Minitinduk Gorge,poi,"6¡1'48.00""N","116¡31'11.99""E",6.03,116.52
Minitinduk Ridge,ridge,"6¡17'21.14""N","116¡40'15.32""E",6.2892,116.67092
Minodtudan R.,river,"6¡8'54.66""N","116¡34'4.83""E",6.14852,116.56801
Minodtuhan Spur,ridge,"6¡5'50.96""N","116¡32'10.21""E",6.09749,116.53617
Minteleb Hill,peak,"6¡0'2.04""N","116¡40'18.03""E",6.00057,116.67168
Mogo-sogo R.,river,"6¡9'6.33""N","116¡26'56.48""E",6.15176,116.44902
Mosogit R.,river,"5¡58'29.53""N","116¡33'3.66""E",5.97487,116.55102
Muru-Turu Ridge,ridge,"6¡6'31.32""N","116¡31'43.06""E",6.1087,116.52863
Nababak R.,river,"5¡58'40.99""N","116¡32'29.58""E",5.97805,116.54155
Kg. Nahaba,pp,"6¡17'38.83""N","116¡30'49.70""E",6.29412,116.51381
Kg. Nalumad,pp,"6¡6'7.17""N","116¡44'24.13""E",6.10199,116.74004
Nalumad R.,river,"6¡5'37.59""N","116¡42'13.55""E",6.09378,116.70376
Namadan R.,river,"5¡58'16.60""N","116¡33'34.04""E",5.97128,116.55945
Kg. Nampasan Baru,pp,"6¡1'50.49""N","116¡43'13.20""E",6.03069,116.72033
Kg. Napong 1,pp,"6¡2'51.25""N","116¡43'46.23""E",6.04757,116.72951
Kg. Napong 2,pp,"6¡2'43.00""N","116¡45'13.73""E",6.04528,116.75381
Mt. Napungok,peak,"6¡10'36.24""N","116¡31'37.41""E",6.17673,116.52706
Kg. Narawang,pp,"6¡0'25.39""N","116¡46'32.62""E",6.00705,116.77573
Nasapang R.,river,"6¡0'31.22""N","116¡38'27.80""E",6.00867,116.64105
Nasapang R.,river,"6¡5'35.99""N","116¡45'34.20""E",6.09333,116.7595
Negures R.,river,"5¡58'38.06""N","116¡40'55.24""E",5.97724,116.68201
Nembirek R.,river,"6¡6'3.98""N","116¡30'3.49""E",6.10111,116.50097
Mt. Nembuyuken,peak,"6¡15'46.42""N","116¡40'37.70""E",6.26289,116.67714
Nobulou R.,river,"6¡0'3.85""N","116¡38'52.35""E",6.00107,116.64788
Mt. Nonohan,peak,"6¡7'11.04""N","116¡35'17.97""E",6.11973,116.58832
Northern Ridge,ridge,"6¡6'8.31""N","116¡34'59.83""E",6.10231,116.58329
Noruyou R.,river,"6¡11'25.69""N","116¡28'34.66""E",6.19047,116.4763
Notoki R.,river,"5¡56'42.89""N","116¡34'31.75""E",5.94525,116.57549
Nouba Ridge,ridge,"6¡7'10.09""N","116¡39'5.15""E",6.11947,116.65143
Nouku R.,river,"6¡6'14.02""N","116¡43'42.77""E",6.10389,116.72855
Kg. Nuluh,pp,"5¡55'49.21""N","116¡40'29.71""E",5.93034,116.67492
